序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
210,"
                                                                                                    【成马浪漫一吻火遍网络！我们找到了这对撒狗粮的情侣】#成马#昨日，2017成都国际马拉松比赛现场，一对在奔跑中热吻的情侣被央视镜头捕捉到，瞬间传遍网络。连解说员也在直播过程中连连放话：“给我们撒了一把狗粮。”据悉，两人都在成都工作，男生从事房地产工作，女生自己做生意。两人平时就很 ????????...展开全文c                                            ", 9月24日 10:31,50,186,322,微博 weibo.com,FngxCmyUW,0
211,"
                                                                                                    【超实用！换季衣物除污清洗全攻略[推荐]】#博闻广记#秋分已过，天气慢慢转凉，要开始收起清爽的夏装，准备秋装了。是不是还有很多夏装没洗干净？白T恤如何清洗才能洁白如新？各色各样的印渍又该怎么去除？…别担心！实用物除污清洗全攻略送给你↓↓为换季做准备，转发收藏，这个周末就试试吧！ 据 ????????...展开全文c                                            ", 9月24日 09:48,213,7,138,微博 weibo.com,Fngg9CxcT,0
212,"
                                                                                                    【截止今晨7时，成都主城区空气质量 良】#空气质量#@成都环保??说，根据成都市环境空气质量实时监测显示，截止时间9月24日7时主城区空气质量指数类别 良 空气质量实时数据详见O网页链接 ????????                                            ", 9月24日 09:05,2,3,2,微博 weibo.com,FnfYHx1Fx,0
213,"
                                                                                                    【流感疫苗接种时间】#气象与生活#大部分流感出现在11月到次年2月，但某些流感会延伸到春季，甚至夏季。在流感流行高峰前1-2个月接种流感疫苗，能更有效发挥疫苗的保护作用，因此，9、10月份是最佳接种时机。当然，在流感流行开始以后接种也有预防效果。据@新浪健康                                            ", 9月24日 08:27,5,1,38,iPhone 6s,FnfJC30Hs,0
214,"
                                                                                                    【未来几天阴雨濛濛】#早安成都#此时没几个人看到这条早安吧？@成都气象 说，预计今天早晚小雨是主角，天空被云层笼罩，最高气温27℃；今晚夜间西部阵雨到访，明天白天天空依旧难露笑颜。 ????????                                            ", 9月24日 07:39,9,41,38,iPhone 6s,Fnfq1fKrN,0
215,"
                                                                                                    #晚安成都#敢不敢@ 一个人，对TA说晚安？ ????????                                            ", 9月23日 23:32,7,83,20,微博 weibo.com,Fnce891t0,0
216,"
                                                                                                    【亲妈！忘带雨伞，妈妈用纸箱胶袋套两娃头上】#网事聚焦#9月21日，广东佛山，一位接幼儿园小孩回家的家长，因没带伞，用纸箱和胶袋盖住两个孩子的头，一路推儿童车冒雨小跑。被纸箱盖住的孩子还一直在踩脚踏板。网友：绝对亲生的（梨视频）L一手video的秒拍视频 ????????                                            ", 9月23日 22:51,5,9,33,微博 weibo.com,FnbXuk0uV,0
217,"
                                                                                                    #住在成都#想知道小布的粉丝里，哪个学校的最多，评论下留言找校友，来一波同校互撩 ????????                                            ", 9月23日 22:03,3,134,24,微博 weibo.com,FnbE0067s,0
218,"
                                                                                                    【相声表演+游戏体验 温江网络安全宣传科普展好生热闹~】#网络安全周#近日，2017年温江区国家网络安全宣传周科普展活动在珠江广场精彩上演，活动现场，成都哈哈曲艺社相声表演艺术家为科普展编撰了两个相声和一段快板书《网骗》，套圈、夹弹珠、投球等游戏体验，又将网络安全知识元素、警示语 ????????...展开全文c                                            ", 9月23日 21:30,9,4,9,微博 weibo.com,FnbqBEpJY,0
219,"
                                                                                                    【医者仁心！82岁老人坚持58年义诊：我不愁吃穿，要钱有啥用】#网事聚焦#天津82岁的何秀奎，已经为乡亲免费看病58年了。何老生活俭朴，纸笔都是自己做的，58年接待患者逾50万人次，却不收分文。大伙习惯来何老这看病，也喜欢跟他聊天。他说：“我不愁吃穿，要钱有啥用。我就想用剩下的这点光和热， ????????...展开全文c                                            ", 9月23日 20:54,38,19,100,微博 weibo.com,FnbbZF7VT,0
220,"
                                                                                                    【吃川航飞机餐是一种怎样的体验？网友：空腹上，扶腰下】#住在成都#近日，有位网友在微博上发表了自己坐完川航的感受，评论炸了→宫保鸡丁、回锅肉、老干妈什么的，这些都是基本款。冒菜、酸辣粉、担担面、烤玉米/土豆/小蛋糕...它也有！哈哈哈哈看饿了！网友：感觉做了个假飞机！ ?????? ????????...展开全文c                                            ", 9月23日 20:19,115,195,139,iPhone 6,FnaY1BX6S,0
221,"
                                                                                                    #网事聚焦#你们那管这个叫什么？（人民网） ????????                                            ", 9月23日 19:33,8,85,18,iPhone 6,FnaFnlLZz,0
222,"
                                                                                                    【朝鲜(疑爆)发生3.4级地震 震源深度0千米】#地震快讯#中国地震台网正式测定：09月23日16时29分在朝鲜(疑爆)（北纬41.36度，东经129.06度）发生3.4级地震，震源深度0千米。@中国地震台网速报 ????????                                            ", 9月23日 18:51,9,12,7,微博 weibo.com,FnaonC4yt,0
223,"
                                                                                                    【别翘二郎腿了！小心脊柱侧弯】#生活服务#很多人坐下来的第一件事就是，翘起二郎腿。但这个动作伤脊柱！长期跷二郎腿，易弯腰驼背，腰椎、胸椎和脊椎的压力分布不均，造成肌肉拉伸，脊椎左右两边的软组织被动失去平衡，久而久之，带来背部肌肉疲劳、酸痛，甚至造成脊椎扭曲或侧弯。看到这种坐姿的人， ????????...展开全文c                                            ", 9月23日 18:34,23,19,13,iPhone 6,Fnahu3C4V,0
224,"
                                                                                                    【营养但绝不清淡的海鲜豆腐煲】#美食成都#四川人喜欢吃点点辣，今天介绍的这种海鲜豆腐煲的做法，肯定超适合你们这些爱死豆瓣酱的家伙。爱海鲜的你不要错过！ ??????（四川美食搜索） ????????                                            ", 9月23日 17:53,36,11,26,iPhone 6,Fna0C2nWS,0
225,"
                                                                                                    【雪豹幼崽：我叫起来“超凶”的！】#网事聚焦#前段时间，世界自然保护联盟将雪豹的保护级别从“濒危”降至“易危”，但对雪豹的保护和研究没有放松。最近，专家们在蒙古一处洞穴中发现了两只雪豹幼崽，并在雪豹妈妈出门捕食时，给它们做了检查。网友：好啦，会象征性地害怕一下 ??????（环球时 ????????...展开全文c                                            ", 9月23日 17:15,17,29,58,iPhone 6,Fn9L8yZhh,0
226,"
                                                                                                    【四分钟速览辉煌中国第四集《绿色家园》】#国内新闻#2017年，习近平总书记参加首都义务植树活动时指出：“要建立绿色屏障，人们都应该生活在绿荫之中，这些是我们努力的方向，一年接着一年干，一代接着一代干，撸起袖子加油干。”为子孙，为万世，许下大美山川。十八大以来，以习近平同志为核心的党中 ????????...展开全文c                                            ", 9月23日 16:48,转发,评论,赞,iPhone 6,Fn9Atvyfc,0
227,"
                                                                                                    【这个影响全成都人的“特大工程” 终于启动了】#四川喜迎十九大#昨日，成都中心城区（11+2区域）公共服务设施“三年攻坚”行动正式宣告启动！未来3年，类似的民生工程将在成都中心城区“开花”：8大类、18项、2557处公共服务设施将投建，确保2020年城市建成区规划公共服务设施总体实施率达到70%以上， ????????...展开全文c                                            ", 9月23日 15:59,15,评论,14,iPhone 6,Fn9gezaSH,0
228,"
                                                                                                    【决不放弃！坐着也能“跑”成马】#成马#他们，2017成都国际马拉松赛上最美的风景，坐在轮椅上也要坚持“跑”完全程，为他们的笑容和坚持点赞~（成都商报） ????????                                            ", 9月23日 15:17,9,22,110,iPhone 6,Fn8Zmh7H2,0
229,"
                                                                                                    【今天，秋分来了】#博闻广记#“燕将明日去，秋向此时分。”今天4时02分，秋分至，昼夜均而寒暑平，90天的秋天就过了一半。秋分日，民间有竖蛋、吃秋菜、送秋牛等习俗。“一场秋雨一场寒，十场秋雨好穿棉”，秋分后，气温逐日下降，备好秋装，以防着凉。奋斗春夏，收获金秋，努力生活，不负青春，不负 ????????...展开全文c                                            ", 9月23日 14:37,16,2,8,iPhone 6,Fn8J87WlM,0
230,"
                                                                                                    【中国电信提醒您:做好电脑基础防护，不给木马入侵留漏洞】#网络安全周#作为全球最大的互联网运营商，中国电信在这次网络安全宣传周上展示了“云堤反钓鱼”及远端阻隔恶意流量技术。成都分公司信息化推进中心喻经理提醒市民: 家用电脑做好日常杀毒、系统升级等基础防护措施，养成良好上网习惯。否则电 ????????...展开全文c                                            ", 9月23日 13:48,11,3,5,iPhone 6,Fn8pj8Jno,0
231,"
                                                                                                    #美食成都#成都少女心下午茶的网红店盘点，每家店的颜值都超高，周末约上闺蜜拍拍拍，加上一个粉嫩系滤镜，完美！（成都美食榜） ????????                                            ", 9月23日 13:14,202,66,254,iPhone 6,Fn8bAbzOT,0
232,"
                                                                                                    【秋日标配：阴天和小雨】#成都午间天气#下过雨的秋天时光，气温适宜，好不惬意，11时我市均温21.8℃。@成都气象 说，午后天色依然阴沉，间断小雨到访，最高气温25℃。这样的阴天+马拉松更配噢，现场的朋友们发点图给小布饱饱眼福呗。 ????????                                            ", 9月23日 12:46,3,6,3,iPhone 6,Fn806jUt8,0
233,"
                                                                                                    【成都马拉松，还有这些不一样的风景线】#成马#现场亮点，小布打包放送咯~①“警察叔叔辛苦了，我的奶瓶给你喝…”哎哟哟，简直心都被暖化了~②③④跑道上，这名小男孩都要跑哭了，不过在众人的鼓励下，擦擦眼泪继续上路，小朋友内心OS：我做错了什么~ ⑤⑥⑦麻麻说：重在参与~⑧情 ????????...展开全文c                                            ", 9月23日 12:13,113,229,1242,微博 weibo.com,Fn7MvwzVV,0
234,"
                                                                                                    【360安全“戴个面具”轻松破解人脸识别】#网络安全周# 连最“保险”的人脸识别都存在缺陷？本次成都国家网络安全宣传周上，360安全集团攻城狮展示了破解人脸识别技术的“黑科技”。据360集团安全售前技术支持张飞凡介绍，单一的人脸识别具有一定漏洞，建议市民在涉及经济交易的操作时，进行多种组合方 ????????...展开全文c                                            ", 9月23日 11:42,11,3,4,iPhone 6,Fn7zZzCfr,0
235,"
                                                                                                    【央视解说员韩乔生向成都发布的粉丝们问好啦】#成马#成马现场，小布偶遇央视体育解说员@大嘴韩乔生????，韩老师说，成都的体育文化交流越来越多，他经常来到成都，也有缘结交不少的朋友~大家有什么想跟韩老师说的，我们帮你现场转达 L成都发布的微博视频 ????????                                            ", 9月23日 11:06,14,15,36,iPhone 6,Fn7lF3Mbh,0
236,"
                                                                                                    #成马#恭喜！全马冠军产生~来自埃塞俄比亚的选手，最终成绩为2:17:23，鼓掌祝贺！ L成都发布的微博视频 ????????                                            ", 9月23日 10:27,23,38,87,iPhone 6,Fn75Et0LP,0
237,"
                                                                                                    【成都集中启动中心城区公共服务设施“三年攻坚”行动】#四川喜迎十九大#经过较长时间的调研和准备，昨日，我市中心城区11个区集中启动公共服务设施“三年攻坚”行动并举行启动仪式，按照年初市政府工作报告部署，加快补齐公共服务设施短板，切实解决群众看病难、上学难、文化娱乐体育设施不足等突出矛 ????????...展开全文c                                            ", 9月23日 10:17,11,评论,8,微博 weibo.com,Fn71CsVrG,0
238,"
                                                                                                    【智能门锁也挡不住窃贼 启明星辰教你这样应对】#网络安全周# 在本次成都国家网络安全宣传周上，启明星辰四川技术部刘怡欣在现场演示了网络黑客利用智能门锁的安全漏洞获取住户门锁密码的全过程。他提醒使用智能门锁的市民，要时常关注信息安全发布平台，及时更新升级门锁系统。此外，配合政府督促门锁 ????????...展开全文c                                            ", 9月23日 09:47,13,6,8,iPhone 6,Fn6Ps6Q1r,0
239,"
                                                                                                    【成都马拉松就是不一样！成都特警“福利”大放送！】#成马#现场，@成都特巡警 已就位！如果你也在，在不影响勤务工作的情况下，可以和我们的特警队员们亲密合影！特警小哥哥们会尽量配合哒！只要不亲不抱上去~~~@平安成都 ????????                                            ", 9月23日 09:12,16,44,94,iPhone 6,Fn6Blc3Mp,0
240,"
                                                                                                    【刚刚，欢乐跑5.2公里女子冠军诞生！】#成马#杨潜是一名医务工作者，拿到2017成都国际马拉松赛欢乐跑5.2公里冠军，她跑到终点第一反应竟然并不是成绩，而是捋了捋昨天专为成马打理的发型。她说“半年来，我每天都有坚持跑步。今天真没想到自己能拿到冠军。我感觉尽到自己努力就好。（成都商报） ????????                                            ", 9月23日 08:57,152,141,544,iPhone 6,Fn6vfd7px,0
241,"
                                                                                                    #成马#@平安成都 成都警察成马护跑团来啦，一直在你身边嗷！ps：还有世界警察运动会马拉松季军护跑全程，赞！ L成都发布的微博视频 ????????                                            ", 9月23日 08:43,5,11,35,iPhone 6,Fn6po3MlF,0
242,"
                                                                                                    【成都奔向世界????非洲兄弟领队成马开跑啦！】#成马# 经过十分钟的热身后，首届成都国际马拉松赛在非洲兄弟的带领下正式开始了！依次跑出的队伍是全马队、半马队和欢乐跑队。现场一片欢腾～本土歌手谭维维将领队欢乐跑～????胜利在前方，大家加油哦！L成都发布的秒拍视频 ????????                                            ", 9月23日 08:25,14,25,74,iPhone 6,Fn6i1cSRl,0
243,"
                                                                                                    【跑友正在热身！2万跑友上演“健康舞”】#成马# 本届成都国际马拉松大赛8点鸣枪起跑！现场2万跑友正在教练的带领下进行十分钟热身，一起来感受一下现场火热的气氛！预祝大家跑出好成绩！ L成都发布的微博视频 ????????                                            ", 9月23日 08:07,12,21,37,iPhone 6,Fn6aJpLDA,0
244,"
                                                                                                    【交通已准备到位！成都最大规模车辆人员集结】#成马#成都交通运输系统组织了232辆运输接驳车，承担运动员、教练员、裁判员、志愿者、媒体人等的输运任务，为这些年之最。其中公交车170辆，客运大巴车62辆。另，今天有37条公交线路绕行。@成都交通运输????说，这是近年来成都交通运输系统最大规模的一次 ????????...展开全文c                                            ", 9月23日 07:59,10,20,63,iPhone 6,Fn67x8SMG,0
245,"
                                                                                                    #直播精彩成都#2017成都国际马拉松8点开跑，形象大使谭维维也会活力助跑哦～大家准备好了吗？（来自L一直播:小小鱼有点胖正在直播）APP下载地址：O网页链接 ????????                                            ", 9月23日 07:56,48,332,323,一直播,Fn66dzGlN,0
246,"
                                                                                                    【安保已经就位！他们凌晨就在准备了！】#成马#看看我们的安保人员，他们已经准备了几乎一个通宵！辛苦了！！目前有上万警力护航成马，@平安成都 ：我们准备好了！跑友们，你们准备好了吗？ ????????                                            ", 9月23日 07:45,19,51,140,iPhone 6,Fn61P7xq2,0
247,"
                                                                                                    【就在今天！成马开跑 天气还OK】#早安成都#激动不？??O今天早上8点?? ，成马将开跑啦~@成都气象 说，今天晨间仍有零星阵雨，但无碍于众跑友们专注于享受马拉松乐趣，之后天空逐渐转为阴天间多云，午后最高温25℃。加油，各位跑友，用奔跑为自己正名。 ????????                                            ", 9月23日 07:32,8,38,50,iPhone 6,Fn5WGyFKx,0
248,"
                                                                                                    #成马#跑友们，在西部博览城九号馆安检哟～ ????????                                            ", 9月23日 07:28,1,8,40,iPhone 6,Fn5UVhsT4,0
249,"
                                                                                                    #晚安成都#【黑眼圈日渐加重的100天】超萌！熊猫从出生到100天间的变化…看着一点点的长大，好可爱啊~ @人人视频 ?????? L人人视频app的秒拍视频 ????????                                            ", 9月22日 23:01,72,40,108,微博 weibo.com,Fn2B2yNsW,0
250,"
                                                                                                    【成都网络安全周????亚信安全提醒您:不要用公共免费Wifi“买单”】#网络安全周# 在成都国家网络安全宣传周上，各展商攻城狮教你见招拆招。亚信安全许经理提醒市民朋友，尽量不要在免费Wiifi中进行支付操作，不扫可疑二维码，对于伪基站发送的信息不要随意点开链接。L成都发布的秒拍视频 ????????                                            ", 9月22日 22:30,8,6,6,微博 weibo.com,Fn2ot4qQA,0
251,"
                                                                                                    【成都网络安全周 信通公司和阿里联手 反欺诈平台666】#网络安全周#在成都市国家网络安全宣传周上，各展商的攻城狮教大家见招拆招。信通公司联合阿里巴巴为大家带来了反欺诈、反诈骗平台，公司总经理助理梁凡提醒各位，注意甄别诈骗短信和电话。L成都发布的秒拍视频 ????????                                            ", 9月22日 22:10,5,2,8,微博 weibo.com,Fn2glzwSY,0
252,"
                                                                                                    #住在成都#一到晚上就想吃烧烤是什么病_______？图据丨@巫小刘走丢了 ????????                                            ", 9月22日 21:38,10,52,37,iPhone 6s Plus,Fn23mpw6w,0
253,"
                                                                                                    【到2020年 成都市将新建8大类共2557处公共服务设施 】#四川喜迎十九大#今天上午，成都市中心城区（11+2区域）公共服务设施“三年攻坚”行动启动仪式在高新区举行。2016年以来，成都市新建教育、医疗、体育、养老等各类公共服务项目共950项。据相关负责人介绍，到2020年，中心城区新建8类，分别是教育 ????????...展开全文c                                            ", 9月22日 21:10,9,评论,6,iPhone 6s Plus,Fn1SmlwFg,0
254,"
                                                                                                    【俄罗斯女孩天生心脏外露笑对人生：上帝为了展示我的能力创造我】#网事聚焦#因为患有先天性胸腔综合征，来自俄罗斯的7岁小女孩Virsaviya Borun，心脏在胸腔外跳动，没有肋骨的保护，只有一层薄薄的皮肤包裹，一笑起来，心脏就膨胀似气球。但她依旧像个小天使一样总是笑着，她说，上帝为了展示自己 ????????...展开全文c                                            ", 9月22日 20:45,14,10,21,iPhone 6s Plus,Fn1HVgeGI,0
255,"
                                                                                                    【成都网络安全周????天辰益邦人脸识别生物加密“黑科技”老腻害了】#网络安全周#在成都国家网络安全宣传周上，天辰益邦公司孙经理现场演示人脸识别技术，这种技术采用活体识别，需要用户进行眨眼、点头等微动作进行比对，比对结果达到90分才视为认证通过，更加保障用户安全。L成都发布的秒拍视频 ????????                                            ", 9月22日 20:29,6,1,1,iPhone 6s Plus,Fn1BtsPMK,0
256,"
                                                                                                    【中国网安提醒 遇到不良信息及时举报哦】#网络安全周#在成都市国家网络安全宣传周上，各展商的攻城狮教大家见招拆招。成都本土的网络安全公司“国家队”中国电子科技网络信息安全有限公司@中国网安????在食药安全保护，综合反馈辟谣信息等方面都有很大贡献。同时正在推广互联网违法信息和不良信息举报平 ????????...展开全文c                                            ", 9月22日 20:18,12,2,5,iPhone 6s Plus,Fn1x7kZvz,0
257,"
                                                                                                    【《中餐厅》同款蜂蜜柠檬水 今天把做法教给大家】#博闻广记#方法很简单，做来尝了尝，果然很好喝！ ????via@烘焙很简单YOU ?? ????????                                            ", 9月22日 19:45,42,6,40,iPhone 6s Plus,Fn1jQagT8,0
258,"
                                                                                                    【毕加索“携”油画版画丝巾画诉隐秘往事 《和平鸽》系首次“降落”成博】#住在成都#毕加索的《和平鸽》丝巾首次亮相成都，它与馆藏博物馆还有着怎样的情缘？致敬偶像画作《维纳斯与爱神》竟是为了秘密情人所画，他的“爱神”究竟是何方女子？9月27日下午（下周三）起，成都博物馆的新展《现代之路—— ????????...展开全文c                                            ", 9月22日 19:24,4,6,9,iPhone 6s Plus,Fn1b1a6WQ,0
259,"
                                                                                                    【3分钟，教你28种人物头像简笔画】#生活服务#学起来，哄娃和手帐都用得到～Mark～via画视频 L画视频的秒拍视频 ?????? ????????                                            ", 9月22日 18:54,76,5,43,iPhone 6s Plus,Fn0Z1ou8N,0
260,"
                                                                                                    【电饭煲焗鸡】#美食成都#电饭煲也能用来焗鸡啦，做起来超简单，味道不比烤箱差！马住试试看~via好好吃 L好好吃的秒拍视频 ?????? ????????                                            ", 9月22日 18:10,62,8,38,iPhone 6s,Fn0HbmMdh,0
261,"
                                                                                                    #住在成都#听说，有些地方正在下暴雨????????南门的小伙伴表示～地还是干的……都有哪些地方在下雨？快来报坐标～ ????????                                            ", 9月22日 17:44,2,106,16,iPhone 6s Plus,Fn0wo4d8f,0
262,"
                                                                                                    【直播预告：O明早8点，发布小妹儿带你跑成马[耶] 】#直播精彩成都#大家期待许久的2017成都国际马拉松明天（9月23日）上午正式开跑，来自35个国家和地区的20000名参赛者将在“史上最直赛道”上奔跑。与此同时，形象大使谭维维也会活力助跑哦～大家准备好了吗？来不了现场就看直播吧，咱们O明早8点见 ！ ????????                                            ", 9月22日 17:30,11,22,19,iPhone 6s Plus,Fn0qZktVA,0
263,"
                                                                                                    【9月25日起，以下37条客运班线调整至东站汽车客运站】#住在成都#9月25日起，城北客运中心始发的至合肥、莆田、兰州、庆阳等地37条运行里程在800公里以上客运班线（详见附表）将调整至东站汽车客运站运营。旅客可乘坐2路、4路、40路、47路、71路、101路、121路等公交线路或地铁二号线到达。 ????????                                            ", 9月22日 16:40,9,6,6,iPhone 6s Plus,Fn06CEavg,0
264,"
                                                                                                    【今天是国际熊猫节，为滚滚打call?? ????????】#住在成都#憨态可掬的“滚滚”，爱撒娇求食的“小吃货”，没事儿就瘫着的“小团子”，爱和奶爸捉迷藏的“调皮鬼”......萌萌的熊猫们一直集万千宠爱于一身！今天是国际熊猫节，祝滚滚节日快乐！ 据@iPanda熊猫频道 ????????                                            ", 9月22日 16:18,27,18,48,iPhone 6s Plus,FmZXykoC0,0
265,"
                                                                                                    #住在成都#在评论里留下离你最近的地铁站～如果有一样的，下班就一起走 ????????                                            ", 9月22日 15:52,7,191,23,iPhone 6s Plus,FmZN874d5,0
266,"
                                                                                                    #秒拍成都#九月，是栾树的季节。（图据网友刘斌） ????????                                            ", 9月22日 15:24,15,14,33,搜狗高速浏览器,FmZBLEM9m,0
267,"
                                                                                                    【游玩成都！必吃的小吃大推荐】#美食成都#中秋国庆期间一定有很多朋友计划来成都旅行吧，网友@水仙有鱼Narcissus 将她最爱的小吃店做成攻略推荐给大家作为参考！一定要去吃哦，不然就相当于没有来过成都！ ????????                                            ", 9月22日 14:39,29,15,29,搜狗高速浏览器,FmZjnEcJZ,0
268,"
                                                                                                    #网事聚焦#小调查：你们都在那用哪个牌子的手机呀？图据 网络 ????????                                            ", 9月22日 13:58,7,81,11,iPhone 6s,FmZ2Tw2Yk,0
269,"
                                                                                                    【世界无车日 成都“922绿色出行”在行动！】#绿色成都#今天上午，市交委在成都银石广场举行“922绿色出行”集中宣传活动，摩拜、ofo等多家共享单车企业、新能源汽车企业、共享停车位企业进行共享出行宣传：趣味问答、大转盘抽奖、共享停车位虚拟体验、共享单车月卡……小布看到地铁还有支付宝购票五折 ????????...展开全文c                                            ", 9月22日 13:31,49,20,18,微博 weibo.com,FmYRGxH53,0
270,"
                                                                                                    【所谓舒爽 不过如此】#成都午间天气#昨日稍热，今日就稍凉，老天还是够体贴嘛，11时我市均温为22.6℃。@成都气象 说，预计午后阴天，我市局部地方仍有阵雨赖着不走，最高气温25℃。入夜，仍有阵雨悄咪咪地来，伴您好眠。 ????????                                            ", 9月22日 13:01,7,2,1,微博 weibo.com,FmYFvxySK,0
271,"
                                                                                                    #生活服务#香辣美食36款做法来啦～每天做一个，一个月不重样！快马吧！via 四川美食 ????????                                            ", 9月22日 12:29,30,2,11,微博 weibo.com,FmYsw1sso,0
272,"
                                                                                                    【《点赞中国——2016~2017“五个一百”网络正能量精品展播特别节目》即将播出】#国内新闻#由中央网信办、中央电视台、中国互联网发展基金会联合主办，人民网、央视网、中青网、中新网、环球网协办的“点赞中国——2016～2017五个一百网络正能量精品展播特别节目”，将于23日在中央电视台科教频道黄金 ????????...展开全文c                                            ", 9月22日 11:59,27,3,16,微博 weibo.com,FmYgl2vzd,0
273,"
                                                                                                    【落实运输安全主体责任????深度监查运渣企业违法违规操作】#住在成都# 今日上午，市公安局交管局联合城管、建委、市区县道安办等部门，召集全市重点渣土运输企业法人，举行落实渣土运输安全生产主体责任工作推进会。会上对成都近年8起由运渣企业违法违规操作造成的重大责任事故案进行了通报，责令运渣企 ????????...展开全文c                                            ", 9月22日 11:31,18,6,1,微博 weibo.com,FmY4YzOz6,0
274,"
                                                                                                    【成都“烂大街”的青皮核桃 到底从哪里来？】#美食成都#不知道爱吃生核桃的你，有没有发现往年价高紧俏的新鲜核桃，今年完全是“烂大街”的趋势，不仅卖核桃的商贩多，并且价格都还很“温柔”，每斤大多在10元—14元。做核桃生意的老曾说，今年是“大年”，栽种水果一年大一年小，“大年”就是丰收年 ????????...展开全文c                                            ", 9月22日 11:03,24,184,194,微博 weibo.com,FmXTQBE6Y,0
275,"
                                                                                                    【兰渝铁路全线29日开通运营 早上小面晚上拉面一路吃起走！】#交通出行#西成客专暂时无法开通，但另一条通往西北的铁路大通道兰渝铁路，就要全线开通运营了。昨日，记者从成都铁路局获悉，历经9年建设，正线全长855公里的兰渝铁路全线将于本月29日开通运营。铁路部门有关负责人介绍，未来从成都 ????????...展开全文c                                            ", 9月22日 10:30,43,27,19,微博 weibo.com,FmXGdvZfR,0
276,"
                                                                                                    【成都八旬老夫妻 50年种出年开300朵的昙花树】#住在成都#家住成都市金牛区马鞍北路的文成信老人告诉记者，这株昙花是他1968年在乐山工作时用一片小叶扦揷繁殖长大的，昙花随他经历了三次搬家，最后来到成都安家落户。多年来，老人精心培育养护它，从最初用小盆到用砖砌了花台将它种植在屋顶花园里生长 ????????...展开全文c                                            ", 9月22日 10:09,87,129,696,微博 weibo.com,FmXxYCy0R,0
277,"
                                                                                                    【成马——史上首个有“音乐加油站”的马拉松】#运动成都#2017成都国际马拉松赛明日开跑啦！这是西南规模最大的马拉松赛。届时，将有来自世界各地的2万余名跑友集聚成都。值得关注的是，此次马拉松的助威模式从原有的“啦啦队+口号+欢呼” 这种“传统老三样儿”上，升级出了突显天府文化特色的“音乐加 ????????...展开全文c                                            ", 9月22日 09:32,63,57,41,微博 weibo.com,FmXiNtbq4,0
278,"
                                                                                                    【世界无车日 停开一天车！】#博闻广记#今天是世界无车日，有车族不开车，也动员家人和朋友加入吧！选择步行、骑车、或搭乘公共交通，告别拥堵和废气，发现不一样的风景！世界无车日，不只在今天。据@人民网 成都市O今天上午10点到下午2点 ，以天府广场为中心，东以顺城大街、大业路为界；南以新光 ????????...展开全文c                                            ", 9月22日 09:01,59,42,29,iPhone 6s,FmX6at56f,0
279,"
                                                                                                    【截止今晨7时，成都主城区空气质量 良】#空气质量#@成都环保 说，根据成都市环境空气质量实时监测显示，截止时间9月22日7时主城区空气质量指数类别 良 空气质量实时数据详见O网页链接 ????????                                            ", 9月22日 08:36,5,1,3,iPhone 6s,FmWW2xl4O,0
280,"
                                                                                                    【运动后不要马上做这六件事】#气象与生活#①不要马上坐下休息：会影响血液循环，导致乳酸分泌过多，加重肌肉的疲劳感。②不要马上洗澡：让肌肉与皮肤的血液循环继续加快，会导致身体的其他器官供血不足。③不要马上对身体降温：会使皮肤紧缩闭汗，引起体温调节等生理功能失调。据@新浪健康                                            ", 9月22日 08:05,5,4,8,iPhone 6s,FmWJoguYb,0
281,"
                                                                                                    【未来三天模式单一】#早安成都#今天是“无车日”，天府广场周围早上10点到下午2点禁止通行，请司机朋友注意哦~@成都气象 说，预计今天白天阴天间多云，早晚有阵雨，气温19～26℃。随后两天空模式相差不多。【今日限行尾号5、0】 ????????                                            ", 9月22日 07:36,17,11,8,iPhone 6s,FmWxS5S70,0
282,"
                                                                                                    #晚安成都#成都的桂花开始飘香了，走路上空气里都有淡淡的香甜，满城桂花香，你闻到了么～晚安各位，晚安成都！图据@CCCCCCC大调 ????????                                            ", 9月21日 23:35,23,25,73,微博 weibo.com,FmTolt4MA,0
283,"
                                                                                                    【晒被子遇见流浪狗，棉絮变棉花】#住在成都#最近一直下雨，然后湿气就很重，今天好不容易出了太阳，成都一高校就有同学把棉絮拿出来晒，结果被“校园黑势力”给摧毁了，心疼10秒钟（成都高校新鲜事） ????????                                            ", 9月21日 23:03,11,29,35,微博 weibo.com,FmTbmfGad,0
284,"
                                                                                                    【好莱坞巨星“精灵王子”奥兰多空降蓉城 四川话说得溜】#天府文化#今天下午，好莱坞著名演员奥兰多·布鲁姆携最新动作电影《极致追击》亮相成都海昌极地海洋公园。这是大帅哥首次来到成都，他遗憾时间太短，表示还想再来，因为成都的小吃太好吃了！为了给自己的电影加油，奥兰多现场学起了四川话：“9 ????????...展开全文c                                            ", 9月21日 22:45,12,19,18,微博 weibo.com,FmT43AtWo,0
285,"
                                                                                                    【666！成都公安上天入地 360°护航“成马”】#住在成都#本周六，倍受关注的“成马”正式开赛，来自国内的众多马拉松爱好者将齐聚成都，共同参加赛事。赛事当天，成都警方将空地一体联勤巡逻，首次成立由上百名警察组成的警察护跑队护航服务“成马”赛事。同时，成都交警将在百度地图开通“直播间”，及 ????????...展开全文c                                            ", 9月21日 22:22,12,5,14,微博 weibo.com,FmSUKsT3E,0
