序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource,Score
247,#九寨沟7.0级地震# 【九寨沟地震遇难人数已达24人】 8月8日21时19分，阿坝州九寨沟县发生7.0级地震，震源深度20公里。灾情发生后，在党中央、国务院的亲切关怀下，按照省委、省政府的统一部署，全州各族各界紧急动员，与时间赛跑，以抢救生命为第一要务，在72小时黄金救援期间，争分夺秒打了一场抢险救 ????????...展开全文c, 8月11日 21:24,987,1465,9426,微博 weibo.com,FgE10F4Vs,1,247,58,1,0.8238588619370462
248,#九寨沟7.0级地震# 【九寨沟景区门票车票已退票金额达592.70万元】据阿坝文旅公司统计，8月9日九寨沟共售票29184张，截至8月11日12:00，成都现场及网上已退票21797张，退票金额达592.70万元（不含九寨沟沟口现场退票人数及金额）；截至8月10日，九寨沟景区现场现金退票3362张，退票业务仍在持续。来源 ????????...展开全文c, 8月11日 20:43,3,10,7,iPhone 6s,FgDKcr4ax,1,248,59,1,0.6886054472399652
249,#九寨沟7.0级地震# 震后的长海宁静而美丽！图据网友8月11日拍摄 ????????, 8月11日 17:54,11,10,86,iPhone 6s,FgCDVdFmg,1,249,60,1,0.7319751363109053
250,#九寨沟7.0级地震# 【王东明：游客是我们的客人，我们有责任有义务让他们平平安安回家！】8月11日，四川省委书记、省抗震救灾指挥部指挥长王东明，省委副书记、省长、指挥部指挥长尹力，前往绵阳市平武县、江油市，看望慰问参与九寨沟地震游客转运疏散的工作人员。王东明对大家说，地震发生时正值旅游 ????????...展开全文c, 8月11日 16:54,,5,17,微博 weibo.com,FgCfB1WUJ,1,250,61,1,0.792089655307889
251,#九寨沟7.0级地震# 【从头再来 九寨沟村民要让青山上寨】今日上午11时，九寨沟县黄土梁隧道洞子口附近的山坡上，64岁的泽礼秀一铲子铲掉一堆地表落石：“我们要从头再来，让青山上寨。”这里，是九寨沟县南大门。8日的地震，对这里影响不大，但考虑安全一度停工。11日，早前在此开工的村民全面复 ????????...展开全文c, 8月11日 16:52,1,2,16,微博 weibo.com,FgCevo11Z,1,251,62,1,0.8034670044310241
252,#九寨沟7.0级地震# 【6000米高空俯瞰????九寨依然是天堂】8月10日，西部战区空军再次出动运-9飞机，飞赴九寨沟地震灾区，对重要景点和区域精准航空侦察。在6000米高空俯瞰，九寨沟依然美丽，连绵的青山秀丽依旧，散落的海子清亮的眸子，依然幽蓝清澈，神奇的九寨，依然是看得到的天堂。（来源：四川 ????????...展开全文c, 8月11日 16:49,4,2,24,微博 weibo.com,FgCdvkRdm,1,252,63,1,0.8118814606356621
253,#九寨沟7.0级地震#【虽然受了伤 但九寨依然美丽】一场7.0级强震之后，“人间天堂”九寨沟先后传出火花海、诺日朗瀑布受损的消息，不少网友担心九寨沟的美景还在吗？伤痛是真的有的，但九寨沟依然美丽！不信？请看从九寨沟景区实地拍回的照片。（来源：四川日报） ????????, 8月11日 16:48,2,3,16,微博 weibo.com,FgCcMoSEL,1,253,64,1,0.8120873062056004
254,#九寨沟7.0级地震# 【转发致敬！无畏生死的人民警察】9日10时，阿坝州特警支队7名特警接到指令，从诺日朗服务中心附近的静海停车场出发，步行十几公里前往位于震中的日则保护站，营救被困群众。10日13点30分许，他们顺利返回九寨沟诺日朗瀑布附近，作短暂休息停留，终于吃上了第一口热饭。致敬灾难 ????????...展开全文c, 8月11日 16:43,5,19,120,微博 weibo.com,FgCaKxoEF,1,254,65,1,0.7861681358909905
255,#九寨沟7.0级地震#【阿坝州向社会公布爱心捐赠渠道】2017年8月8日21时19分，阿坝州九寨沟县发生7.0级地震，震源深度20千米，造成人员伤亡和房屋倒塌。人民群众生命财产遭受严重损失，为解决灾区实际困难，做好救灾款物的募集工作，及时向社会公布爱心捐赠渠道，现将九寨沟“8·8”地震爱心捐款渠道平台 ????????...展开全文c, 8月11日 16:25,1,评论,4,微博 weibo.com,FgC3O0w6w,1,255,66,1,0.7599419441367984
256,#九寨沟7.0级地震# 【“孤岛”不孤！——地震受困群众亲述获救故事】关键词：两天两夜 10人被困孤岛 守望相助讲述人：日则保护站获救者长生，大录乡香扎村三组村民（九寨沟管理局森林巡护和地质灾害监测员），51岁在记者送长生回程的路上，自言“平时话几乎没得”的他，一路上话语几乎不停，记者 ????????...展开全文c, 8月11日 16:21,3,1,7,微博 weibo.com,FgC20zQ4A,1,256,67,1,0.8084381958136857
257,#九寨沟7.0级地震#【一方有难 八方驰援????各地各部门及企业纷纷致电致函慰问地震灾区】8月8日，九寨沟发生7.0级地震。震后，浙江省嘉兴市、甘孜州、雅安市、自贡市、眉山市等地（市）州，省委统战部等部门，葛洲坝集团等企业纷纷致电致函，向九寨沟地震灾区人民表示慰问，向奋战在抗震救灾一线的广大干 ????????...展开全文c, 8月11日 16:20,转发,1,7,微博 weibo.com,FgC1vAwWY,1,257,68,1,0.747345557976812
258,#九寨沟7.0级地震#【党旗飘扬的地方——是临时安置点， 是爱与希望汇聚的地方】 8月10日，午饭时间，记者前往漳扎镇安置点探访受灾群众安置情况。远远望见飘扬的旗帜上醒目的“党员志愿服务队”几个大字，陆续有外地车牌号的应急救援车辆根据旗帜的指引到达漳扎镇安置点。此刻，没有一个外地司机因 ????????...展开全文c, 8月11日 16:19,2,评论,2,微博 weibo.com,FgC12CvLc,1,258,69,1,0.7665380540289283
259,#九寨沟7.0级地震# 【若尔盖志愿者为往返救援车提供服务】8月8日九寨沟7.0级地震发生后，共青团若尔盖县委迅速行动，充分发挥共青团联系青年、服务青年的先锋模范作用，集结32名志愿者在国道213线设立2处志愿服务点，开展抗震救灾志愿服务，为震中往返游客及救援车辆提供物资补给、路况咨询和手机充电 ????????...展开全文c, 8月11日 16:15,转发,评论,3,微博 weibo.com,FgBZz0rr4,1,259,70,1,0.7249486595920325
260,#九寨沟7.0级地震# 【九寨沟三个饮用水源水质达标】8月10日凌晨3点50分，阿坝州环保局监测分析组形成第一期环境应急监测专报，监测数据表明，灾区3个饮用水水源地水质均达到《地表水环境质量标准》（GB3838-2002）Ⅱ类水域标准；5个地表水水质断面水质达到《地表水环境质量标准》（GB3838-2002）Ⅲ类水 ????????...展开全文c, 8月11日 16:14,2,评论,3,微博 weibo.com,FgBZbkOVC,1,260,71,1,0.6755030008524061
261,#九寨沟7.0级地震# 【黑水开展向地震灾区捐款活动】“一方有难，八方支援”是中华民族的传统美德。今日(11日)，黑水县向九寨沟地震灾区捐款活动在街心花园举行，该县社会各界纷纷伸出援手，踊跃为灾区捐款。 ????????, 8月11日 15:55,转发,评论,5,微博 weibo.com,FgBRxnpQq,1,261,72,1,0.7396558954134285
262,#九寨沟7.0级地震# 【12日到15日九寨沟天气以多云为主】据阿坝州气象台消息，今日白天到晚上九寨沟阴有小到中雨；12日小雨转阴；13日多云转晴；14日晴间多云；15日多云间晴。????温馨提示：未来24小时内，地震灾区天气多云转阴有小到中雨，请相关单位注意降水带来的次生灾害，适时开展抗震救灾工作。 ????????, 8月11日 15:53,转发,评论,1,微博 weibo.com,FgBQtvaxn,1,262,73,1,0.7654162910166085
263,#九寨沟7.0级地震# 【又见逆行！九寨沟地震救援，这张逆行照片刷爆朋友圈】九寨沟抗震现场，又见逆行！“我们不是英雄，‘逆行’是我们忠于职守。”看不清战士的面孔，但看到了一股毫不畏惧的力量。（四川共青团） ????????, 8月11日 15:33,2,4,61,iPhone 6s,FgBIEzqhs,1,263,74,1,0.7987734810073526
264,#九寨沟7.0级地震# 【省、州向“8.8”九寨沟地震灾区划拨救灾党费】近日，省委组织部、州委组织部分别向“8.8”九寨沟地震灾区划拨救灾党费200万元和60万元，用于帮扶救助受灾党员群众，帮助维修重建村党组织活动场所和购置党员教育设备设施等。州委组织部要求，灾区党组织和党员干部要以省委、州委的 ????????...展开全文c, 8月11日 15:10,1,评论,3,iPhone 6s,FgBz16QKL,1,264,75,1,0.7373304192231744
265,#九寨沟7.0级地震#【敬礼！你们辛苦了！】九寨沟7.0级地震后，广州一家游客从九寨沟口安全撤离，途中孩子们向驰援九寨沟的民警敬礼致敬！通往灾区的道路上，一位民警忙着指挥疏导交通，手中泡好的面都来不及吃一口……转发，向每一位救援者、守护者致敬，辛苦了！也请你们注意安全！（央视） ???? ????????...展开全文c, 8月11日 12:02,4,3,30,微博 weibo.com,FgAl2ntqW,1,265,76,1,0.7714765539482087
266,#九寨沟7.0级地震#【震区沿路站满村民，全天举着这张牌】九寨沟地震后，一波又一波当地村民自发聚集在沿路，举着“免费”的牌子，提供食物、水，路过的媒体记者不得不多次表明自己无需再领。L微辣Video的秒拍视频 ????????, 8月11日 12:02,7,3,22,微博 weibo.com,FgAkH5k44,1,266,77,1,0.7889055637439341
267,#九寨沟7.0级地震#【你挡住飞石的那一刻，我决定嫁给你】九寨沟地震发生时，一对浙江小情侣正坐在大巴上。几块飞石突然砸进后车窗，男孩瞬间抱住女孩，“我当时什么都没想，就想着石头别砸到她”，事后，女孩甜蜜地说：“定了明天回家的机票，回去我就嫁给他。”（四川在线） ????????, 8月11日 12:00,转发,2,10,微博 weibo.com,FgAk6sthS,1,267,78,1,0.7765268692349643
268,#九寨沟7.0级地震# 【科学有序组织抗震救灾 扎实有效做好群众工作 争分夺秒打赢抗震救灾攻坚战】8月9日晚，我州在九寨沟召开“8·8”地震州指挥部会议。州委书记刘作明出席会议并讲话，他强调，要始终把抢救生命放在第一要位，争分夺秒开展科学救援、抢救生命，精心组织、全力以赴抓好道路、电力、通信 ????????...展开全文c, 8月11日 11:54,转发,评论,2,微博 weibo.com,FgAhwhAEd,1,268,79,1,0.7671791022185832
269,#九寨沟7.0级地震# 【九寨沟游客陆续抵蓉】10日晚23时35分，记者从成都市交委获悉，8月10日从九寨沟发往成都东站汽车客运站75台客车、2200人左右，截至23:00已有64台车陆续抵达成都东站汽车客运站。另外，今日由阿坝川主寺起运发往成都客车14台、450人，已陆续到达成都，其中5台驶入茶店子客运站，其余 ????????...展开全文c, 8月11日 11:23,转发,评论,1,微博 weibo.com,FgA55DpV6,1,269,80,1,0.8040419192139804
270,#九寨沟7.0级地震# 【最新九寨沟景区灾情信息公布 火花海以上景观无重大损坏】记者从四川省政府新闻办获悉，截至8月10日22时30分，最新“8·8”九寨沟地震灾害抢险救援情况汇总显示，九寨沟景区火花海以上景观无重大损坏，诺日朗瀑布发生部分坍塌，五花海以下目测无较大损害。（来源：川观） ????????, 8月11日 11:21,1,1,4,微博 weibo.com,FgA4eacGN,1,270,81,1,0.7999807731511295
271,#九寨沟7.0级地震# 【九寨沟火花海震前后卫星影像对比图】8月10日17时53分，省测绘地理信息局公布了九寨沟火花海震前震后卫星影像对比图。在该局和省应急测绘指挥中心的统一部署下，8月10日16时10分，省测绘应急保障中心无人机分队紧急获取九寨沟景区和上四寨至甘海子的无人机高分辨率影像。通过地震 ????????...展开全文c, 8月11日 11:16,1,评论,8,微博 weibo.com,FgA2c2NPS,1,271,82,1,0.7791074124373942
272,#九寨沟7.0级地震# 【临时安置点 爱与希望汇聚的地方】8月10日，午饭时间，记者前往漳扎镇安置点探访受灾群众安置情况。远远望见，飘扬的旗帜上醒目的“党员志愿服务队”几个大字，陆续有外地车牌号的应急救援车辆根据旗帜的指引到达漳扎镇安置点。此刻，没有一个外地司机因为道路不熟而走错方向 ????????...展开全文c, 8月11日 11:13,转发,评论,9,微博 weibo.com,FgA14iFAJ,1,272,83,1,0.765745895728156
273,#九寨沟7.0级地震# 【九寨沟县漳扎镇建“帐篷”派出所】8日晚的一场地震，让九寨沟县漳扎镇派出所成了“危房”。地基下沉、墙面开裂、地下水倒灌。救灾忙碌一夜的民警们回来，从派出所里抢救出来的东西只有一面国旗、一面党旗、一块警徽，以及公章接出警记录本。而这些东西全部转移到了一个简陋的帐篷 ????????...展开全文c, 8月11日 11:12,转发,1,12,微博 weibo.com,FgA0qoLFZ,1,273,84,1,0.7730168332595975
274,#九寨沟7.0级地震#【 九寨沟地震遇难人员名单公布：已有14名遇难者身份确认】九寨沟政府网站发布九寨沟地震遇难者信息，截至8月10日18时，“8.8”九寨沟地震遇难20人，其中已有14名遇难者身份确认，6名遇难者正在核实身份。14名遇难者中，多人为甘肃、湖北、重庆、成都等外地游客，阿坝州本地群众3人。 ????????...展开全文c, 8月11日 09:48,4,5,6,iPhone 6s,Fgzsoe5ph,1,274,85,1,0.722903364361167
277,发布了头条文章：《#九寨沟7.0级地震#哪怕只有一线希望 也要付出百分之百的努力》 °#九寨沟7.0级地震#哪怕只有一线希望 也要付出... ????????, 8月10日 20:52,1,1,15,微博 weibo.com,FgunFti6Q,1,277,86,1,0.7689181769670248
278,#九寨沟7.0级地震# 【荷叶寨10名被困群众被直升机救出】8曰10日下午4点40分，坐在九寨沟荷叶寨的帐篷里，最后一个乘机离开险境的获救群众蒲长生向记者回忆了过去2天中，一起获救的10位被困群众名单：蒲长生 住在荷叶寨 男那果 住在荷叶寨 女长生 日则管理处地灾监测员兼环卫工 男任贵元 日则管理 ????????...展开全文c, 8月10日 18:19,2,3,12,微博 weibo.com,FgtnvBxm8,1,278,87,1,0.807092014351055
279,#九寨沟7.0级地震# 【好样的 为酒店工作人员点赞】送走最后一批滞留游客后，今日中午1点，九寨沟天源豪生度假酒店的员工们正在加紧搭建救灾帐篷，60多位员工继续留守在酒店。中午2点50分左右，酒店工作人员在清理酒店房间时，发现6612房间里留有两个皮箱、两只手表、手机、金手镯等贵重物品，以 ????????...展开全文c, 8月10日 18:08,2,4,18,微博 weibo.com,FgtiN7zwQ,1,279,88,1,0.7410950889659524
280,#九寨沟7.0级地震# 【除中查沟—甘海子沿线外 地震灾区已全部恢复供电】记者从四川省政府新闻办获悉，截至目前，除中查沟—甘海子沿线正在进行抢修尚未通电外，地震灾区其余地方基本恢复通电。（来源：川观） ????????, 8月10日 18:05,转发,评论,7,微博 weibo.com,FgthWbDzm,1,280,89,1,0.7880499280502498
281,#九寨沟7.0级地震# 【请广大社会组织和志愿者不要盲目进入灾区】据九寨沟“8.8”地震社会组织和志愿者服务协力中心工作站消息：目前灾区专业救援力量已经饱和，请广大社会组织和志愿者不要盲目进入灾区。请已在当地开展工作的社会组织和志愿者，在结束工作任务后，及时有序撤离。谢谢！（来源：川观） ????????, 8月10日 18:05,6,1,9,微博 weibo.com,FgthH7q1K,1,281,90,1,0.7852974051992894
282,#九寨沟7.0级地震# 【预订九寨沟景区门票车票三种方式退票】为保证游客游览安全，九寨沟景区从8月9日起停止接待游客。网订未取入园票的游客可通过阿坝文旅票务预订网站：阿坝旅游网(O网页链接办理退票。网订已取入园票、现金和自助售票机购买8月9日入园票的游客凭当日景区入园票可在景区沟口 ????????...展开全文c, 8月10日 17:43,3,评论,8,微博 weibo.com,Fgt8RzviW,1,282,91,1,0.6273488120629938
284,#九寨沟7.0级地震# 【九寨沟多数超市餐饮店正常营业 市场供应稳定】8月10日，记者从省食品药品监管局获悉，目前，九寨沟县城内绝大多数超市和餐饮店是开门营业状态，市场供应基本稳定。九寨沟县7.0级地震发生后，省食药监局迅速做出应急响应，成立了“8·8”九寨沟地震抗震救灾食品药品安全应急保障工作 ????????...展开全文c, 8月10日 16:52,转发,评论,4,微博 weibo.com,FgsO5yZzl,1,284,92,1,0.7093654642959089
285,#九寨沟7.0级地震# 【九寨沟民族风情文化广场临时安置点的游客和群众基本撤离完毕】中午1点，九寨沟县城九寨沟民族风情文化广场临时安置点的1800余名游客和群众已基本全部撤离完毕。经过环卫工人的打扫，广场上干干净净。（来源：川观） ????????, 8月10日 16:07,2,评论,18,微博 weibo.com,FgsvZeNll,1,285,93,1,0.7595078288070858
286,#九寨沟7.0级地震# 【3小时内7架次直升机运送16名群众】14点32分彭丰直升机场迎来第7架直升飞机，带走两名群众，至此，从12时50分第一架直升机降落，不到3小时的时间里，7架直升机已经运送了19人离开，其中16名为搜救人员在日则保护站找到的荷叶寨村群众。据悉，目前荷叶寨村还有4名失联人员，部队官兵 ????????...展开全文c, 8月10日 16:04,1,1,9,微博 weibo.com,FgsuDmTUJ,1,286,94,1,0.8018314472242594
287,#九寨沟7.0级地震#【九寨沟地震已致20人死亡】 接九寨沟县应急办书面报告，经初步核查，截至8月10日12时，“8·8”九寨沟7.0级地震已致20人死亡（其中游客6人，本地群众2人，未查明身份12人），431人受伤(重伤18人，其中17名重症伤员已转移至成都、绵阳救治，1名重伤员暂在松潘县医院救治。（阿坝州政府 ????????...展开全文c, 8月10日 13:39,7,6,6,iPhone 6s,FgrxO5exX,1,287,95,1,0.7720373081073761
288,#九寨沟7.0级地震#【九寨沟县彭丰村村民自发为救援人员免费提供饭菜】 8月10日上午10时，九寨沟县漳扎镇彭丰村村民在自己受灾的情况下，自发组织为来救援的人员免费提供饭菜。他们说：“因自家房屋受损不敢回家取肉，他们所能提供的只有自己地里现摘的蔬菜等制作简单饭菜。”（阿坝日报全媒体报道组） ????????, 8月10日 12:08,转发,1,21,iPhone 6s,FgqWObAqD,1,288,96,1,0.8011404486712217
289,#九寨沟7.0级地震# 【九寨沟县已组织80辆大巴车 不留下一名想走的游客和群众】虽然景区和震中地区的旅客和群众已经撤离完毕，但是在九寨沟县城的九寨沟民族风情文化广场临时安置点，依然有1800余人等待撤离。据九寨沟县县长陶钢介绍，他们大多是县城附近的务工人员，从昨天下午开始陆续抵达县城，截至 ????????...展开全文c, 8月10日 11:57,7,5,36,微博 weibo.com,FgqSvCwqV,1,289,97,1,0.803137260888815
290,#九寨沟7.0级地震# 【九寨沟县城生肖广场有序撤离】上午，记者在九寨沟县城生肖广场看到，游客和群众正在有序撤离，他们将统一撤离到广元。截止11时许，今天已经撤离10辆大巴，目前广场上人群已全部撤离完。（来源：川观） ????????, 8月10日 11:52,转发,2,13,微博 weibo.com,FgqQhkYGJ,1,290,98,1,0.7913699081284256
291,#九寨沟7.0级地震# 【九寨沟地震中两起谣言的造谣者已被查处】九寨沟牵动着全国人民的心。然而就在地震发生两小时后，各地关于地震的谣言也纷纷在自媒体上发酵。目前，涉及九寨沟地震的两起谣言造谣者已被警方查处。一、造谣【四川地震局发布余震预警】西安警方已将此条谣言始作蛹者抓获！二、造谣【紧 ????????...展开全文c, 8月10日 10:33,18,13,34,微博 weibo.com,FgqkfCjqg,1,291,99,1,0.7832733360269963
292,#九寨沟7.0级地震#????【九寨沟县地震致19死 5万余名游客已全部转移】记者从四川省政府新闻办获悉，截至8月9日22时，“8.8”九寨沟7.0级地震已致19人死亡，343人受伤，其中重伤13人，较重21人，轻伤309人，已转院19人。省道301线3处断道均已抢通便道；17个乡（镇）已恢复供电；50000余名游客（含126名外 ????????...展开全文c, 8月10日 09:41,3,1,8,微博 weibo.com,FgpZ4b7iW,1,292,100,1,0.7905347254785449
293,#九寨沟7.0级地震# 【松潘到九寨沟多处恢复语音通信】全力保障灾区通信通畅，恢复基站129个，完成2G基站扩容小区34个，新增3G基站小区通道8个，设置免费服务点9个、免费平安电话11部，开通应急通信车1部，开通7*24应急指挥视频调度系统，布放临时光缆23公里，抢通通信光缆18皮长公里，松潘—弓杠岭—九 ????????...展开全文c, 8月9日 23:12,4,8,13,iPhone 6s,FglS2mPY2,1,293,101,1,0.7568795259582848
294,#九寨沟7.0级地震# 【九寨沟地震受伤人员增至343人】截至8月9日22时10分，死亡19人（其中游客6人，本地群众2人，未查明身份11人），受伤人员增至343人（重伤13人，其中危重2人）。目前，省道301线3处断道（K79、K83、K98）均已抢通便道，17个乡（镇）全部恢复供电；全县范围内排查复核原有隐患点227处 ????????...展开全文c, 8月9日 23:09,9,9,14,iPhone 6s,FglQvhEiM,1,294,102,1,0.7941286003861279
295,#九寨沟7.0级地震# 【滞留在漳扎镇的游客已全部疏散转移】据川报观察 记者8月9日22时从四川省旅游发展委员会获悉，他们9日凌晨1点起紧急召开2次抗震救灾工作专题会，强化了24小时应急值班值守制度，并要求各级旅游部门进一步做好省内外旅游团队和游客的核查工作，确保所有游客及时疏散转移。截止9日下 ????????...展开全文c, 8月9日 22:45,8,26,9,微博 weibo.com,FglGWvA6S,1,295,103,1,0.7751980399529637
296,#九寨沟7.0级地震# 【36个医疗救助点为震区撤离人员护航】8月9日，记者从绵阳市卫生计生委获悉，九寨沟地震发生后，绵阳市卫生计生委随即制定《“8.8”九寨沟地震灾区游客撤离沿途医卫保障方案》，要求绵九环线沿线医疗机构负责提供医疗救助服务，共设置医疗救助点36个，救助点共安排医护人员142人。（ ????????...展开全文c, 8月9日 22:33,转发,评论,8,微博 weibo.com,FglCd3HMz,1,296,104,1,0.748713268323198
297,#九寨沟7.0级地震# 【松潘爱心社团主动为滞留游客提供服务】在松潘，有这样一支队伍——松潘县萤火虫爱心社团。他们第一时间自发组织起来，在川主寺为滞留游客提供接、送等服务，帮助国外游客进行交流翻译和向导，来自迪拜的游客在临时安置点与帮助他们的松潘县萤火虫爱心社团队友合影，衷心感谢在危急 ????????...展开全文c, 8月9日 22:29,2,3,21,iPhone 6s,FglAc8qM3,1,297,105,1,0.7182475316940993
298,#九寨沟7.0级地震# 【搭帐篷建锅灶，九寨村民守望相助】 8月9日，九寨沟7.0级地震发生后，在九寨沟景区荷叶寨，村民们忙着搭建相关救灾单位提供的帐篷。空阔的草地上，今天又临时搭起了20多个帐篷。“帐篷搭好了，晚上好生火做饭。”一位村民说。荷叶寨共有144户556人，全村人集资在村里开了两家副食品 ????????...展开全文c, 8月9日 21:46,1,2,17,微博 weibo.com,Fglj7n9BP,1,298,106,1,0.7841170321587175
299,【成都机场再增5个救灾航班，全天预计转运滞留旅客1200人】8月9日晚21时，记者从成都双流国际机场获悉，今日机场计划执行进出九黄机场的救灾航班再增5个至18个，搭建起运送灾区人员重要的空中通道。截止19时30分，已有4个航班从成都飞往九寨沟，6个航班从九寨沟飞抵成都。18个航班全部执行完毕，将从灾 ????????...展开全文c, 8月9日 21:43,转发,评论,6,微博 weibo.com,FglhHB110,1,299,107,1,0.7641201592220217
300,#九寨沟7.0级地震# 【九寨沟境内详细道路情况】据阿坝州委办信息：截至目前，县城至漳扎镇、九寨天堂至川主寺道路可通行，国道213线茂县石大关乡山体高位垮塌处已抢通便道；若尔盖向九寨沟方向的若九路已基本抢通。省道301线九寨沟漳扎镇（沟口）至九寨天堂便道可通行，K83处仍持续跨方，抢险人员机具 ????????...展开全文c, 8月9日 21:04,2,3,8,iPhone 6s,Fgl214VLS,1,300,108,1,0.7751478783556819
301,#九寨沟7.0级地震# 【九寨沟县城、漳扎镇通讯都已恢复】经全面排查和全力抢修，九寨沟水电开发公司各电站均能正常运行，黄浦电力公司6个电站无明显异常，顺河、马家、二道桥3个电站均能正常发电。县城、漳扎镇移动、电信、联通信号已完全恢复正常。 ????????, 8月9日 20:59,转发,评论,4,iPhone 6s,Fgl01Cmyf,1,301,109,1,0.7772353161700517
302,#九寨沟7.0级地震#【九寨沟在全县范围内开展地震次生灾害隐患排查】迅速组织四川华地建设工程有限责任公司、四川九0九建设集团有限公司、四川省地矿局川西北地质队3支专业队伍在全县范围内开展地震次生灾害隐患排查，目前排查复核原有隐患点131处，发现变形加剧隐患点9处，新增隐患点26处，巡排查工作 ????????...展开全文c, 8月9日 20:56,转发,3,7,iPhone 6s,FgkYK6YPC,1,302,110,1,0.7692049815495312
303,#九寨沟7.0级地震#【截至18时 九寨沟已安全转移滞留游客46900人】 据阿坝州委办消息：截至8月9日18:00，已安全转移滞留游客46900人，游客基本转移疏散完毕。同时，漳扎镇及相关乡镇转移安置群众9000余人，排查了房屋受损。经初步排查，全县17个乡镇房屋受损8301户，其中，一般受损7279户，中度受损750 ????????...展开全文c, 8月9日 20:52,转发,1,9,iPhone 6s,FgkWVgahF,1,303,111,1,0.7648797358746976
304,#九寨沟7.0级地震# 【“8·8”九寨沟地震已致19人死亡263人受伤】接九寨沟县应急办书面报告，截至8月9日18时25分，经初步核查，“8·8”九寨沟地震已致19人死亡，263人受伤，死亡游客遗体已全部转运至县殡仪馆。（来源：阿坝坝州政府应急办 ????????） ?????? ????????, 8月9日 20:27,2,评论,5,iPhone 6s,FgkMViSG7,1,304,112,1,0.7480217779995502
305,#九寨沟7.0级地震# 【川九路全线抢通！】记者从省交通运输厅获悉，截至8月9日下午17:30，经过近20小时的连续奋战，川九路上四寨至九倒拐因灾断道处已抢通，标志着川九路受损路段全线抢通，供抢险救援机械、越野车辆单车道应急通行。（来源：川观） ????????, 8月9日 19:50,转发,评论,10,iPhone 6s,FgkxMtScE,1,305,113,1,0.8129883106296361
306,#九寨沟7.0级地震# 【地震灾区已经累计转移6万名游客和务工人员，逾六成重伤员转到成绵两地】8月9日，九寨沟“8.8”地震抗震救灾指挥部第一次新闻发布会在九寨沟口举行。截至8月9日13时，经初步核查，地震已致19人死亡，其中游客8人，本地群众2人，其余9人的身份正在核实。九寨沟全县17个乡镇有1680户 ????????...展开全文c, 8月9日 19:47,5,3,15,iPhone 6s,FgkwLyxcU,1,306,114,1,0.790635907831341
307,找到就好，感谢你们的信任，我们会继续努力, 8月9日 19:22,2,2,13,iPhone 6s,Fgkmt1oAu,0,307,-155,1,0.6946985604089498
308,#九寨沟7.0级地震# 【阿坝州马尔康市启动爱心献血】由于8月8日九寨沟发生7.0级地震，为保证灾区急救用血，阿坝州献血办、阿坝州中心血站启动马尔康应急采血。希望各界爱心人士积极参与献血！马尔康采血地点：马尔康市州图书馆楼下爱心捐血屋??????????采血时间：上午9：00-下午4:00 ????????, 8月9日 18:47,1,1,3,微博 weibo.com,Fgk8hBUPN,1,308,115,1,0.7087610483928025
309,#九寨沟7.0级地震# 【九寨沟火花海震出缺口 海子水量基本排空】记者从四川省政府新闻办了解到，九寨沟景区火花海由于地震产生缺口，原海子水量已下泄排放，已经排空，不存在溃决风险。8日晚地震后，九寨沟景区火花海子坝体产生缺口，缺口宽20米，长约50米。随后，火花海的下泄流量从正常的9.3立方米/秒 ????????...展开全文c, 8月9日 17:52,12,评论,18,微博 weibo.com,FgjLNvf6i,1,309,116,1,0.7818853933888674
310,#九寨沟7.0级地震# 【假的！九寨沟管理局辟谣景区内两千人滞留】据@九寨沟管理局 微博消息，九寨沟管理局官方辟谣称并未出现网络谣言中传播的“九寨沟景区内近2000原住民在本景区内滞留。救灾人员，救灾物资均未到达”情况。 ????????, 8月9日 17:01,6,36,10,微博 weibo.com,FgjrpnT2k,1,310,117,1,0.7541254193725139
311,#九寨沟7.0级地震# 【震区首份高清灾情侦察影像图公开 道路和桥梁没有大的损伤】由西部空军航空兵某团航拍的“第一手”震区侦察影像资料公开，从高空可见，震区道路和桥梁等建筑没有大的损伤，居民房等建筑有部分垮塌，局部山体由于滑坡等有裸露。（来源：川观） ????????, 8月9日 16:39,7,12,16,微博 weibo.com,Fgjie1nSM,1,311,118,1,0.7387136227379292
312,#九寨沟7.0级地震# 九寨天堂到漳扎镇道路已抢通。（来源：川报观察） ????????, 8月9日 16:36,2,评论,13,微博 weibo.com,Fgjh2poWv,1,312,119,1,0.6981780009646714
313,#九寨沟7.0级地震# 【首批乘坐大巴从九寨沟返回成都的旅客即将到站】9日下午16时，记者从成都市交委获悉，第一批乘坐长途客运大巴从九寨沟灾区返回成都的旅客即将到站（成都东站汽车客运站），目前成都东站汽车客运站已经做好接待准备。（来源：川观） ????????, 8月9日 16:11,1,1,38,微博 weibo.com,Fgj6Zc4C0,1,313,120,1,0.7581631846701652
314,#九寨沟7.0级地震# 【截至今日13时10分 九寨沟地震已造成19人死亡】接九寨沟县应急办书面报告，截至8月9日13时10分，经初步核查，“8.8”九寨沟地震已致19人死亡，247人受伤（40人重伤；其中7人已转院，4人转至绵阳中心医院，3人转至四川大学华西医院，其余已全部转移到九寨沟县人民医院和县中藏医院， ????????...展开全文c, 8月9日 15:39,120,32,41,iPhone 6s,FgiTNAvkZ,1,314,121,1,0.7385851156236678
