序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource
351,#九寨沟7.0级地震# 【九寨沟7.0级地震地震已造成9人死亡、164人受伤】记者从四川省政府新闻办获悉，2017年8月8日21时19分，阿坝藏族羌族自治州九寨沟县发生7.0级地震，截至9日凌晨5时00分，地震已造成9人死亡、164人受伤。 ????????, 8月9日 07:35,20,11,17,iPhone 6s,FgfJl6t9L,1,351,157,1
352,#九寨沟7.0级地震#????【习近平对九寨沟地震作重要指示:最大限度减少人员伤亡】国家主席习近平对四川九寨沟7.0级地震作出重要指示，要求迅速组织力量救灾，全力以赴抢救伤员，最大限度减少人员伤亡。 ?????? ????????, 8月9日 07:28,4,评论,19,iPhone 6s,FgfGE7Hou,1,352,158,1
353,#九寨沟7.0级地震# 【九寨沟进入交通管制 目前只允许政府救援车辆进入灾区】四川交警发布九寨沟地震交通管制：一、因九寨沟县发生地震，对九黄环线实行全线交通管制，只允许政府救援车辆进入灾区，其他社会车辆一律不得进入。二、对G213甘南入川方向、G212陇南入川方向车辆进行劝返。请务必服从现场公 ????????...展开全文c, 8月9日 00:28,37,29,18,iPhone 6s,FgcWn5liV,1,353,159,1
354,#九寨沟7.0级地震# 【九寨沟景区8月9日起停止接待游客】九寨沟景区从8月9日起停止接待游客。具体接待游客时间另行通告。目前，已经预订了8月9日及以后门车票的游客可到阿坝文旅办理退票。O网页链接 ????????, 8月9日 00:05,4,6,6,iPhone 6s,FgcMJ4h4e,1,354,160,1
355,#九寨沟7.0级地震#【九寨沟7.0级地震已造成五人遇难】 截至8月8日22时58分，九寨沟县漳扎镇有5人死亡，60余人受伤，其中30人重伤。九寨沟景区内树正社区暂无伤亡报告；黑河、双河、安乐等乡镇有房屋倒塌，火花海堰塞湖已排空；县城至漳扎镇道路畅通，县城至青龙桥道路畅通；多诺库区等工程项目平安。 ????????, 8月8日 23:51,11,22,19,微博 weibo.com,FgcHehWt6,1,355,161,1
356,#九寨沟7.0级地震# 【九寨沟发生7.0级地震 阿坝州启动地震灾害一级应急预案】2017年8月8日21时19分49秒，阿坝州九寨沟县（东经103.82、北纬33.20）发生7.0级地震，震源深度约20公里。灾情发生后，阿坝州紧急启动地震灾害一级应急预案，成立州应急前线指挥部，省人大常委会副主任、州委书记刘作明，州委 ????????...展开全文c, 8月8日 23:49,1,1,5,微博 weibo.com,FgcGdox6q,1,356,162,1
361,【王东明对九寨沟7.0级地震抢险救援工作作出指示】8月8日21时19分，阿坝州九寨沟县发生7.0级地震，震源深度20千米。灾情发生后，省委书记王东明第一时间作出指示，要求立即启动应急响应，派出省委省政府工作组赶赴现场指导救灾工作，强调首先要全力开展抢险救援，千方百计减少人员伤亡；要迅速把群众和 ????????...展开全文c, 8月8日 23:38,4,评论,20,微博 weibo.com,FgcBYp2QC,1,361,163,1
362,九寨沟发生7.0级地震，网友发来现场视频 L阿坝微博的秒拍视频 ????????, 8月8日 22:23,9,5,14,iPhone 6s,Fgc7nmPrF,1,362,164,1
364,【九寨沟县发生7.0级地震】据中国地震台网正式测定：08月08日21时19分在四川阿坝州九寨沟县（北纬33.20度，东经103.82度）发生7.0级地震，震源深度20千米。图片来源：中国地震台网 ????????, 8月8日 21:44,27,36,55,iPhone 6s,FgbRzsjsn,1,364,165,1
366,九寨沟附近发生6.5级左右地震, 8月8日 21:32,11,11,61435,iPhone 6s,FgbMDlEud,1,366,166,1
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource
9,经过铁路部门3个小时的紧张排查，【受青川县5.4级地震影响的成渝高铁、绵成乐客专、宝成铁路、内六铁路等多条线路已于17时57分全部恢复通车。】铁路部门提醒，受地震影响，部分列车将出现不同程度晚点，请关注@西南铁路、站车公告或致电铁路客服12306，掌握最新列车运行信息，以免耽误您的行程。, 9月30日 18:41,2,7,42,360安全浏览器,FoejDchtR,1,542,167,2
11,#连线四川#最新消息，除了宝成铁路仍在继续排查隐患外，受青川5.4级地震影响的其他铁路已经全部开通，列车运行秩序陆续恢复正常。, 9月30日 18:02,1,8,42,搜狗高速浏览器,Foe42kLHn,1,544,168,2
17,【#青川5.4级地震# 成渝客专等多条线路列车扣停 西成客专进行安全排查】地震发生后，成都铁路局紧急扣停了运行在宝成铁路成都至广元段、绵成乐铁路成都东至江油段的所有列车，成渝客专全线扣停，铁路部门正对设备进行检查。同时西成客专正派技术人员对沿线设备、青川站站房开展安全排查。@西南铁路 ????????, 9月30日 14:52,26,127,42,搜狗高速浏览器,FocOCkq3u,1,550,169,2
18,#连线四川#中国地震台网正式测定：09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13千米。@中国地震台网速报, 9月30日 14:33,13,21,1855,搜狗高速浏览器,FocHbFwHd,1,551,170,2
19,#连线四川#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。@中国地震台网速报 ????????, 9月30日 14:20,167,421,1855,搜狗高速浏览器,FocBSfxJi,1,552,171,2
20,地震了？感觉楼在摇 ????????, 9月30日 14:16,60,989,833,360安全浏览器,FocAapcvY,1,553,172,2
397,【惊喜！九寨沟震后现新景观 景区有望逐步分区域开放】#连线四川#来自中科院、环保部等机构十余名生态专家组成的科学考察团发现，九寨沟个别景观遭遇较大程度的毁坏，但震后也造就了一些新的景观，如下图双龙海瀑布。四川省旅发委表示，九寨沟景区有望很快地分区域进行有序开放。（四川日报） ????????...展开全文c, 9月18日 14:44,77,144,212,搜狗高速浏览器,FmnDphbgy,1,930,173,2
1153,【九寨沟震后实地航拍：瑶池碧水依在，翠海叠瀑归来】#四川九寨沟县7.0级地震#8月8日，九寨沟县发生地震，五花海、诺日朗瀑布受损，其余海子一度妆容黯淡。地震两周后，省地矿局华地公司工作人员对景区进行地质灾害排查工作，发现景区内“瑶池碧水依在，翠海叠瀑归来”，大部分海子恢复了碧蓝，瀑 ????????...展开全文c, 8月24日 14:05,64,36,96,微博 weibo.com,FizH5rypT,1,1686,174,2
1486,【“8·8”九寨沟地震已致25人死亡】#四川九寨沟县7.0级地震#记者从四川省政府新闻办了解到，截至目前，“8·8”九寨沟地震已造成25人死亡，525人受伤。遇难者中21人确定身份，4人未确定身份。其中新增遇难者为29岁游客王又乐（女），身份证号码：51302919881003xxxx。 °九寨沟地震已致25人遇难525人受伤 21名遇难者... ????????, 8月13日 16:09,5,11,11,微博 weibo.com,FgUNXjByD,1,2019,175,2
1492,【地震最美逆行者：一心只想冲上去赶紧救人】#四川九寨沟县7.0级地震#近日，一张九寨沟地震灾区“最美逆行者”的照片刷屏。这位在乱石飞泻处涉险逆行的武警叫张国全，他说，当时脑子一片空白，就一心想着冲过去赶快把人救出来。“我和我的战友一样，只是做了该做的事情，哪里需要我们，我们就该出现在 ????????...展开全文c, 8月13日 11:39,7,11,73,微博 weibo.com,FgT2mwQnp,1,2025,176,2
1514,【九寨沟“最美逆行者”找到，他为何冲向危机四伏的塌方】#四川九寨沟县7.0级地震# 8月11日，地震灾区九寨沟又一张军人逆行的照片在微信朋友圈刷屏。这位“最美逆行者”是武警四川省总队阿坝支队十三中队中士张国全。通过前方发回的现场视频，一起去看张国全“逆行而上”究竟是为了什么。（中国军网八 ????????...展开全文c, 8月12日 14:45,11,19,37,iPhone 6,FgKPECfcF,1,2047,177,2
1517,【快来认领！撤离时没带走的行李，九寨沟都帮你保管着！】#四川九寨沟县7.0级地震#11日，九寨沟天源豪生度假酒店工作人员正在清理游客物品。地震当日，酒店入住900余间房，大部分游客撤离时都带走了行李，已有近40个房间的游客联系酒店，但仍有不少行李等待认领。这里面有你的吗？帮转！（成都商报） ????????...展开全文c, 8月12日 13:01,36,21,66,微博 weibo.com,FgK99pMKQ,1,2050,178,2
1544,#四川九寨沟县7.0级地震#“我们不是英雄，‘逆行’是我们忠于职守。”图片中这个毫无畏惧的背影是四川武警阿坝支队十三中队士官张国全～~~感谢有你，感谢有你们！据@人民日报 ???? ????????, 8月11日 15:17,25,17,142,搜狗高速浏览器,FgBCbBTmn,1,2077,179,2
1561,#晚安成都#不论施救者，还是失联者，请一定平安，等你们归来。#四川九寨沟县7.0级地震# （图据@成都商报 ） ????????, 8月10日 23:26,10,13,144,iPhone 6,Fgvo2wQdB,1,2094,180,2
1563,【视频：实拍震后的九寨沟景区????落石之下，水依然蓝、花仍旧开】#四川九寨沟县7.0级地震#今天，记者深入九寨沟景区腹地，近距离拍到震后的景区，两分钟全纪录火花海、老虎海、犀牛海、镜海、诺日朗瀑布、珍珠湖、树正海等景点画面！让我们相信，九寨会依然美丽！（成都商报）L成都商报的秒拍视频 ????????, 8月10日 21:47,84,47,86,iPhone 6,FguJV6izi,1,2096,181,2
1567,#四川九寨沟县7.0级地震#【九寨沟雄起！这一刻，我们同在！】抢救生命的接力，还在继续！藏在紧张救援中的小故事，很震撼，很温暖，带给我们勇气和力量！不论救援人员，还是失联者，请一定平安，等你们归来。九寨，为你加油！ ????????@新浪四川 ????????, 8月10日 19:08,14,4,54,iPhone 6,FgtH95NK6,1,2100,182,2
1574,#四川九寨沟县7.0级地震#邛崃市医疗中心医院护士林阳在九寨沟县人民医院手术室，从地震发生到现在连续工作了将近四十个小时。@健康成都官微 ????????, 8月10日 15:15,39,67,346,搜狗高速浏览器,FgsaFfgeS,1,2107,183,2
1577,#四川九寨沟县7.0级地震#【最新消息汇总：死亡人数上升至20人】①经初步核查，截至8月10日12时，九寨沟7.0级地震已致20人死亡（其中游客6人，本地群众2人，未查明身份12人），431人受伤(重伤18人）。②转移民众超过6万人，滞留游客基本转移疏散完毕。③核心区关键通道打通。④九寨沟县城恢复语音通信。 ????????...展开全文c, 8月10日 13:44,11,3,21,iPhone 6s,FgrzFk0my,1,2110,184,2
1578,【地震来了，如何第一时间科学避震？】#生活服务#震时就地避险，震后迅速撤离，是应急避震基本准则：①在平房或楼房一层，迅速跑出室外；②楼房二层或以上，躲在卫生间等有承重墙处，易形成三角空间；③蜷曲身体、用枕头等护头颈；④勿在阳台等避险，因门窗等处最先坍塌…转发↓@央视新闻????????????...展开全文c, 8月10日 13:01,44,8,12,iPhone 6s Plus,Fgriw918N,1,2111,185,2
1583,【今晨，终于等到你】#四川九寨沟县7.0级地震#从10日凌晨4:50开始，九寨沟地震灾区转运旅客的车辆陆续平安到达成都茶店子车站！昨日16时左右 ，20台客运车700余人从阿坝州川主寺出发，今日凌晨4:50首辆车到达成都，5:30左右大部队（11辆）陆续通过成灌高速成都站出口，于6:06到达成都茶店子客运站 ????????...展开全文c, 8月10日 10:32,14,8,62,搜狗高速浏览器,Fgqk2lzAz,1,2116,186,2
1585,【暖心！地震后成都女导游徒步40分钟 只为确认游客安全】#四川九寨沟县7.0级地震#发生后，灾区内的游客也积极开展自救工作，其中有这样一位导游，徒步40分钟只为确认游客安全。该导游名叫李尹韩，为成都一名带团导游。“地震发生时，旅行客车正行至国大停车场附近，车子发生了剧烈摇晃。由于其中一名游 ????????...展开全文c, 8月10日 09:48,16,33,91,iPhone 6s Plus,Fgq1Qpqs7,1,2118,187,2
1587,【九寨沟地震受伤人员增至343人】截至8月9日22时10分，#四川九寨沟县7.0级地震#死亡19人（其中游客6人，本地群众2人，未查明身份11人），受伤人员增至343人（重伤13人，其中危重2人）。省道301线3处断道均已抢通便道；17个乡镇恢复供电；转移车辆1万余台，转移人员超6万人(含126名外国游客)。据 ????????...展开全文c, 8月10日 08:59,27,8,25,iPhone 6s Plus,FgpHZ8cH2,1,2120,188,2
1591,【千名旅客凌晨从九寨沟转运至成都 】#四川九寨沟县7.0级地震#10日凌晨，又将有1000名左右旅客从灾区通过客运大巴转运至成都，分别在茶店子客运站和成都东站汽车客运站下车。目前，市交委已就茶店子客运站和东站的接待、公交的转送、机场和火车站的送达、现场秩序的维护等工作进行了全面安排部署。 ????????, 8月10日 00:17,4,11,53,iPhone 6s,Fgmi4pha8,1,2124,189,2
1592,#晚安成都##四川九寨沟县7.0级地震#你我或许不在现场，但可以做到：①灾害信息以权威发布为准，不传播未证实的消息；②非专业救援队伍、社会车辆不自行前往，避免添乱；③没避险知识，不盲目进入灾区...此刻，祝福平安！图为连续奋战18小时后，阿坝消防官兵利用吃饭间隙，打个盹。养足精神，他们又将投 ????????...展开全文c, 8月9日 23:52,19,25,129,微博 weibo.com,Fgm7U8Fjz,1,2125,190,2
1593,【这是一位成都医生发的 “后门”申请 】#四川九寨沟县7.0级地震#发这条消息的，是青白江人民医院的医生王亮。九寨沟地震发生后，他立刻向医院以前一位老领导询问，可不可以开个“后门”让他马上赶到灾区参与救援。”当然这是开个玩笑的说法。“王亮说，当时他第一反应就是震区需要医疗资源，他想尽快 ????????...展开全文c, 8月9日 23:38,86,101,783,微博 weibo.com,Fgm2lzocQ,1,2126,191,2
1594,【加夜班的公交师傅成都公交开行通宵旅客疏散专线 】#四川九寨沟县7.0级地震#为保障九寨沟地震灾区到蓉旅客及时疏散，市公交集团在成都东站、成都站及茶店子客运站安排应急运力，开行灾区返蓉旅客疏散专线。其中，成都东站13条既有公交线路增加运力投入，夜间开行沿二环至成都站专线公交；成都站 ????????...展开全文c, 8月9日 23:06,19,18,122,微博 weibo.com,FglPdagrV,1,2127,192,2
1596,【九寨沟地震发生后|成都医生朋友圈第一反应是这样的……】#四川九寨沟县7.0级地震#08月08日21时19分在四川阿坝州九寨沟县附近发生7级地震。成都各大医院的医护人员第一反应，从朋友圈就看得出来了。四川大学华西医院，医生连夜改签机票回成都；省医院，医生马上开始检查装备；市二医院，医护人员立即 ????????...展开全文c, 8月9日 21:53,214,84,861,微博 weibo.com,FgllBivn8,1,2129,193,2
1597,【成都警方设置7个便民服务点为灾区撤离群众出具临时身份证明】#四川九寨沟县7.0级地震#今日起，成都市公安局组织警力在成都双流国际机场、火车东站、火车北站、成绵高速（成都）出口、成绵复线（成都）出口、 国道213线都江堰路口、茶店子客运站等7处加强交通疏导及治安巡逻工作，并设立7个便民服务点 ????????...展开全文c, 8月9日 21:07,3,2,28,微博 weibo.com,Fgl2Vz9l6,1,2130,194,2
1599,【扩散！最新最全应急电话！】#四川九寨沟县7.0级地震#九寨沟景区24小时值守应急电话、三大运营商应急热线、机票退改签客服电话、旅行社/旅游网站退票客服、保险公司理赔服务热线，还有景区退票方式……转发提醒！??据@人民网 ????????, 8月9日 19:30,25,2,18,微博 weibo.com,FgkpyrNTV,1,2132,195,2
1600,【多家航空公司宣布将为游客免费退改签】#四川九寨沟县7.0级地震#记者从各大航空公司了解到，多家航空公司已发布免费退改签公告。今天，无论去程有无旅客，国航都将执行正常航班计划，以尽快接回滞留当地的旅客。详情见↓转给需要的人！据@央视新闻 ????????, 8月9日 18:45,4,3,18,微博 weibo.com,Fgk7id2Qh,1,2133,196,2
1601,【成都双流国际机场机场公安为救援人员及滞留旅客提供服务保障】#四川九寨沟县7.0级地震#四川省公安厅机场公安局迅速响应，全力保障救援人员及物资第一时间到达抢险救援前线，同时，为滞留旅客提供便捷服务和安全保障。目前，机场分局公安办证窗口已增加警力，确保旅客证照办理和咨询服务，机场公安报 ????????...展开全文c, 8月9日 17:57,6,2,35,微博 weibo.com,FgjNObz6N,1,2134,197,2
1602,【救护车转运危重伤员已到华西医院】#四川九寨沟县7.0级地震#接到省卫计委抗震救灾指挥部医疗救治组通知，现有3名重伤员通过三台救护车送往四川大学华西医院。伤员基本情况如下：1、黄舒婷，女，17岁，自贡人，九寨沟打工，腰4椎体爆裂性骨折。2、何贵清，男，63岁，九寨沟人，脑出血。3、杜雨桐， ????????...展开全文c, 8月9日 17:29,10,60,54,微博 weibo.com,FgjCrskNR,1,2135,198,2
1603,【成都东站迎来该站首批灾区返回游客】#四川九寨沟县7.0级地震#第一批返回成都的游客分为20辆客车，800余人，于16：15陆续抵达成都东站汽车客运站。游客李雨晴来自湖南，她告诉记者，地震当天自己和孩子刚从景区出来不久，正在酒店里，感受到地震后第一时间和孩子冲了出来，在旅行团的组织下返回了成都 ????????...展开全文c, 8月9日 16:57,10,15,53,微博 weibo.com,FgjpscF59,1,2136,199,2
1604,【最新：四川九寨沟地震已致19人死亡 247人受伤】#四川九寨沟县7.0级地震#阿坝州政府应急办消息，截至8月9日13时10分，经初步核查，九寨沟地震已致19人死亡，247人受伤（40人重伤，207人轻伤）。死亡和受伤情况主要发生在漳扎镇辖区内。经仔细核查，已排除火花海有堰塞湖情况。据@人民日报 ????????, 8月9日 16:11,29,37,33,微博 weibo.com,Fgj6MtQog,1,2137,200,2
1606,#四川九寨沟县7.0级地震#成都消防官兵劈石开路，以方便更多的救援力量进入。, 8月9日 14:47,14,12,34,微博 weibo.com,FgiyU7lFI,1,2139,201,2
1607,#四川九寨沟县7.0级地震#@四川大学华西医院 第一支救援医疗队已于9日上午9时30分抵达九寨沟县人民医院开展医疗救援。, 8月9日 13:58,10,10,301,微博 weibo.com,FgieYnNWW,1,2140,202,2
1608,#四川九寨沟县7.0级地震#【成都东站汽车客运站24小时开放转运旅客】据市交委消息，目前已暂停发往阿坝州及途径阿坝州的旅游包车，同时暂停经国道213线进出阿坝州的客运班车；同时，将九寨沟滞留旅客由阿坝州转运至绵阳平武再由平武转运至成都东站汽车客运站。在旅客转运期间，东站汽车客运站将24小时开 ????????...展开全文c, 8月9日 13:37,22,9,43,搜狗高速浏览器,Fgi6hon2S,1,2141,203,2
1609,#四川九寨沟县7.0级地震#一呼百应！成都急救人枕戈待旦，时刻准备着。, 8月9日 13:16,3,1,4,微博 weibo.com,FghXWzWaW,1,2142,204,2
1610,#四川九寨沟县7.0级地震#【九寨沟7.0级地震已造成13人死亡 175人受伤】从四川省政府新闻办获悉，截至2017年8月9日早上9点30分，九寨沟7.0级地震已造成13人死亡，175人受伤。从省公安厅获悉，九寨沟天堂洲际大饭店搜救出遗体1具、4名重伤员，目前，救援还在继续。@成都全搜索新闻网 ????????, 8月9日 12:55,13,7,13,搜狗高速浏览器,FghPle4oI,1,2143,205,2
1612,#四川九寨沟县7.0级地震#【九寨沟地震后部分航空公司发布免费退改公告】从四川航空和祥鹏航空获悉，由于8月8日21时19分四川省阿坝藏族羌族自治州九寨沟县发生7.0级地震，两家航空公司对游客发布免费退改签公告。@新华视点°九寨沟地震后部分航空公司发布免费退改公告 ????????, 8月9日 12:09,12,3,42,搜狗高速浏览器,FghwBnqWn,1,2145,206,2
1615,#四川九寨沟县7.0级地震#@成都市第五人民医院 应急救援队出发紧急驰援九寨沟，向逆行者致敬！, 8月9日 10:58,10,11,31,微博 weibo.com,Fgh3Nn6Lb,1,2148,207,2
1617,#四川九寨沟县7.0级地震#截至2017年8月9日07点00分，@中国电信 四川公司开展阿坝州九寨沟7级地震应急通信保障最新情况如下↓↓, 8月9日 10:10,9,6,539,微博 weibo.com,FggKk1Dfp,1,2150,208,2
1619,#地震快讯#中国地震台网正式测定：08月09日07时27分在新疆博尔塔拉州精河县（北纬44.27度，东经82.89度）发生6.6级地震，震源深度11千米。@中国地震台网速报 ????????, 8月9日 09:20,12,2,30,搜狗高速浏览器,FggpX5vMl,1,2152,209,2
1620,#四川九寨沟县7.0级地震#【成都市血液中心全力做好8.8九寨沟地震血液应急救援工作】为更好的方便市民献血，@成都献血 全体员工积极行动，全市献血屋和采血车开放时间均提前到早上8点，延长了服务时间，暂未定结束时间。 ????????, 8月9日 09:06,26,9,38,搜狗高速浏览器,Fggkt0V2r,1,2153,210,2
1621,#四川九寨沟县7.0级地震#【关键时刻能救命！最权威地震逃生手册，速转收藏！】8日21时19分，四川阿坝州九寨沟县发生7.0级地震，目前已造成9人死亡、164人受伤。灾难一旦发生，生死存亡就在瞬息之间。地震来时如何躲避？如何自救？最权威地震逃生手册↓多一次转发，可能就多挽救一条生命！随手扩散！ ?? ????????...展开全文c, 8月9日 08:43,92,16,25,iPhone 6,Fggbfw37d,1,2154,211,2
1623,#四川九寨沟县7.0级地震#【最新消息汇总：地震已造成9人死亡】①截至8月9日凌晨5时，地震已造成9人死亡、164人受伤。②习近平作出重要指示：最大限度减少人员伤亡；李克强作批示。③武警、消防、卫生等部门及军队已迅速出动，救援工作彻夜进行。④九寨沟景区今起暂时关闭。愿伤亡人数不再增加，愿灾区 ????????...展开全文c, 8月9日 07:53,33,评论,51,iPhone 6,FgfQPyWGF,1,2156,212,2
1624,【多云当道 太阳露脸】#早安成都#地震后的第一个清晨，愿大家安好。@成都气象 说，今天白天以多云间晴为主，阳光被云层遮挡少许，最高气温34℃。【今日尾号限行3、8】图据@爱丁达尔 ????????, 8月9日 07:29,6,9,29,iPhone 6,FgfGYy35x,1,2157,213,2
1625,#晚安成都#【九寨沟管理局公布应急电话 24小时值守】正值旅游旺季，九寨沟多游客，望所有人平安，保持通讯畅通并及时报平安。同时，九寨沟管理局对外公布应急电话应急电话0837-7739529，24小时值守。@中国阿坝州发布 ????????, 8月9日 01:02,15,13,53,iPhone 6s,Fgda8aOkj,1,2158,214,2
1626,#四川九寨沟县7.0级地震#据市交委消息，机场高速已开启救灾专用车道；绕城高速进入成绵、成灌高速的入口，实施交通管制，对大货车实施分流。 ????????, 8月9日 00:23,11,17,63,微博 weibo.com,FgcTZlKyq,1,2159,215,2
1627,#四川九寨沟县7.0级地震#【四川消防、成都消防7百余名官兵向震中地区开进增援】据@成都市公安消防支队 消息，目前成都消防184名救援官兵、39辆消防车、3只搜救犬接到增援命令后完成集结，正在向九寨沟进发。同时，四川省公安消防总队立即启动地震救援应急响应机制，目前已调派6个支队的610余名官兵、8 ????????...展开全文c, 8月9日 00:13,134,220,480,微博 weibo.com,FgcPVzdME,1,2160,216,2
1628,#四川九寨沟县7.0级地震#【截至8月8日22时58分，九寨沟县漳扎镇有5人遇难】除此之外， 60余人受伤，其中30人重伤。九寨沟景区内树正社区暂无伤亡报告；黑河、双河、安乐等乡镇有房屋倒塌，火花海堰塞湖已排空；县城至漳扎镇道路畅通，县城至青龙桥道路畅通；多诺库区等工程项目平安。相关情况续报。（ ????????...展开全文c, 8月9日 00:03,20,130,44,360安全浏览器,FgcM1hxmJ,1,2161,217,2
1629,#四川九寨沟县7.0级地震#【辟谣：九寨沟县地震部分谣言网上流传 请大家不信谣不传谣】九寨沟地震发生至现在网络上已经有部分流言发布，??新浪四川旅游频道通过微博发布了辟谣消息。而在辟谣微博中，有一张疑似高雄地震的图在朋友圈中也有不少人发布。请大家不要轻易传播未经核实的消息。 ????????...展开全文c, 8月8日 23:56,36,53,94,360安全浏览器,FgcJddOvD,1,2162,218,2
1630,#四川九寨沟县7.0级地震#【紧急呼吁：请让救援人员和车辆优先！】今日21时19分，四川阿坝州九寨沟县发生7.0级地震，请大家注意让救援人员和车辆先走，留出应急通道，时间就是生命：①最好不要驾车自行前往灾区救灾；②请没有重要事情的驾驶人不要前往灾区；③没有基础避险知识的普通志愿者不要盲 ????????...展开全文c, 8月8日 23:39,42,43,84,微博 weibo.com,FgcCcyDo9,1,2163,219,2
1631,#四川九寨沟县7.0级地震#【@醉美邛崃 已安排第一笔救援资金100万????医疗救护队出发赶赴灾区】作为对口联系帮扶九寨沟的邛崃市委、市政府高度重视，立即在地震发生后的第一时间安排医疗救护队赶赴灾区，并安排第一笔救援资金100万。, 8月8日 23:27,11,19,28,iPhone 6s Plus,Fgcxvf9vx,1,2164,220,2
1632,#四川九寨沟县7.0级地震#@成都市公安消防支队 在都江堰基地集结，准备连夜进入震区！//@成都发布:#连线四川#中国地震台网正式测定：08月08日21时19分在四川阿坝州九寨沟县（北纬33.20度，东经103.82度）发生7.0级地震，震源深度20千米。@中国地震台网速报, 8月8日 23:01,13,17,88,iPhone 6s Plus,FgcmX0CfF,1,2165,221,2
1633,#连线四川#中国地震台网正式测定：08月08日21时19分在四川阿坝州九寨沟县（北纬33.20度，东经103.82度）发生7.0级地震，震源深度20千米。@中国地震台网速报, 8月8日 23:01,20,3,88,iPhone 6s Plus,FgcmMDUol,1,2166,222,2
1634,#四川九寨沟县7.0级地震#【成灌、成温邛、成彭、城北出口高速已设立应急车道】据市交委消息，目前，成都交通运输部门已启动应急预案，就应急通道的保畅、道路客运、交通执法等工作进行部署，全面做好应急准备。目前，成灌、成温邛、成彭、城北出口高速已设立应急车道；执法总队八大队全员准备就绪，保 ????????...展开全文c, 8月8日 22:51,1070,107,347,iPhone 6s Plus,Fgcj05wC9,1,2167,223,2
1635,#四川九寨沟县7.0级地震#【多趟途经九寨沟火车扣停】受九寨沟地震影响，成都铁路局管内部分旅客列车扣停。具体车次如下：兰渝线：D5159（南充北），D5126（南部），K9433（太公），K2611（广元）；成绵乐：C6263（罗江东至绵阳北区间），C6229（江油城际场）；宝成线，下行：K545（罗江），K245（小溪 ????????...展开全文c, 8月8日 22:27,37,32,67,iPhone 6s Plus,Fgc9huNMV,1,2168,224,2
1636,#连线四川#中国地震台网自动测定：08月08日21时19分在四川阿坝州九寨沟县附近（北纬33.20度，东经103.88度）发生6.5级左右地震，最终结果以正式速报为准。@中国地震台网速报 ????????, 8月8日 21:28,219,135,88,iPhone 6s Plus,FgbKXiDNw,1,2169,225,2
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource
49,【收好！地震自救12秒求生指南】假如地震突然发生，自救的黄金时间也许只有短短12秒。生死一瞬，怎样自救更科学？“生命三角”法则和“伏地、遮挡、手抓牢”三步法则是两种流传最广的应急措施↓↓,9月21日 15:59,5,评论,106,360安全浏览器,FmQpipzdk,1,3461,226,4
77,如何抓住地震黄金12秒,9月16日 23:15,1,评论,3,iPhone 7,Fm8824g5k,1,3489,227,4
93,抗震神器抵消80%地震能量 每年产值可达26亿元,9月13日 17:09,2,1,287,iPhone客户端,FlDrW5k0U,1,3505,228,4
213,【注意防范暴雨引发地质灾害】,8月25日 09:27,7,1,29,360安全浏览器,FiHiKcAtI,1,3625,229,4
271,祈福地震灾区,8月16日 10:57,3,1,94,iPhone客户端,Fhl371Lbp,1,3683,230,4
280,“那边受灾的人那么多，我要过去救人！”,8月14日 16:20,2,3,8,360安全浏览器,Fh4j2d8Pc,1,3692,231,4
283,//@四川消防: #四川九寨沟地震#今日头七，缅怀逝者,8月14日 09:21,6,评论,22836,360安全浏览器,Fh1zbb7D4,1,3695,232,4
285,愿时间抚平伤痕，祝福九寨,8月13日 20:36,5,1,9500,iPhone 7,FgWyE4Fkp,1,3697,233,4
289,#都都的消防日记# 近期发生的灾害无形中给大伙儿敲响了警钟。如果在开车时遇到地震，手忙脚乱、惊慌失措，不知道该如何沉着应对，甚至会造成没有必要的二次伤害。那么今天，都都就来详细讲讲，当开车时遇见地震应该怎样做。快戳图看看。@四川消防 @中国消防 ????,8月13日 11:01,13,2,16,iPhone 7,FgSMVpDlP,1,3701,234,4
291,"#九寨沟地震# 【四川省委常委、政法委书记、抗震救灾副指挥长邓勇亲切慰问成都支队抗震救灾战勤保障官兵】8月12日上午, 四川省委常委、政法委书记、抗震救灾副指挥长邓勇率队前往阿坝洲九寨沟县地震灾区，亲切看望慰问奋战在抗震救灾一线的消防官兵。四川省公安消防总队刘赋德总队长陪同慰问。在九寨 ????...展开全文c",8月12日 19:21,转发,评论,8,iPhone 7,FgMDrk8Oz,1,3703,235,4
293,#九寨沟地震##成都消防 抢险救援# 下午14点45分，成都消防飞豹救援队在行车途中，遇到一辆拉货汽油三轮车与一辆越野车相撞，三轮车四脚朝天，汽油泄露，货物散落一地，造成了道路大堵车。飞豹救援队队长立即下达指令，一分队负责把车辆扶正，把车辆推离路边安全地带，对泄露的汽油用水进行稀释清理； ????...展开全文c,8月12日 17:19,2,评论,19,iPhone 7,FgLQcBHQV,1,3705,236,4
